show,collection_id,pct_sentences_dropped,pct_tokens_dropped,flagged
Volts,1548554104,0.00039876951122251337,0.0002728949081708634,False
The Political Orphanage,1439837349,0.0004494634530029777,0.0002693229605518812,False
Talkin‘ Politics & Religion Without Killin‘ Each Other,1536169792,0.0003409672103199409,0.00024027583666048623,False
Unf*cking The Republic,1535255041,0.00017600985655196692,0.00023962278735410064,False
American Thought Leaders,1471411980,0.00039769337840524953,0.00023898431665421956,False
KQED's Forum,73329719,0.0004058676871339943,0.0002342989893374104,False
Politix,1721969693,0.00040592652729855896,0.00022194397798985758,False
What Really Matters with Walter Russell Mead,1695205478,0.00040773057163826144,0.0002154398563734291,False
Conversations with Bill Kristol,925428680,0.0003818008272351257,0.0002081716848659185,False
ChinaTalk,1289062927,0.00036056825557077957,0.0001798997254573755,False
MOATS with George Galloway,1568505052,0.00029008630067445067,0.0001683760848230608,False
Rev Left Radio,1218054701,0.00037967955045941227,0.00016635903448385128,False
The Peter McCormack Show,1317356120,0.00024024601191620219,0.0001511866306768736,False
Firing Line with Margaret Hoover,1570432345,0.00023056083924145483,0.00014417828675001546,False
No Gods No Mayors,1767877239,0.00016421709499958947,0.00012918473036487087,False
The Dishcast with Andrew Sullivan,1536984072,0.00011642798928862498,0.00012524736354299743,False
POLITICO Energy,1480605295,0.0001948684637869438,0.0001237801664244302,False
The Dig,1043245989,0.00024412075840182277,0.00011498413644784191,False
The Arena,1548086514,0.00013381506757660912,9.192739574284231e-05,False
The Pete Quiñones Show,1263295815,0.00010300782859497322,4.155105470427191e-05,False
