show_id,nw,imp_other,imp_all,you_deontic,you_all,imp_attention,you_other,you_know,imp_action,imp_epistemic,you_addressive,imp_other_rate,imp_all_rate,you_deontic_rate,you_all_rate,imp_attention_rate,you_other_rate,you_know_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate
1467993804,73838,160,420,101,1547,44.0,1010,419,197,19.0,17.0,21.669059291963485,56.88128064140416,13.67859367805195,209.51271702917197,5.958991305289959,136.78593678051953,56.74584902082939,26.680029253230046,2.573200790920664,2.3023375497711207
1471411980,71463,161,370,125,1572,21.0,1034,385,163,25.0,28.0,22.529140954060143,51.77504442858542,17.491569063711292,219.9739725452332,2.9385836027034973,144.6902592950198,53.87403271623078,22.809006059079525,3.4983138127422584,3.918111470271329
1474001390,75863,129,336,97,1512,60.0,997,393,131,16.0,25.0,17.004336764957884,44.29036552733217,12.786206714735773,199.30664487299472,7.908993844166458,131.42111437723264,51.80390967929031,17.267969893096765,2.1090650251110556,3.295414101736024
1476110521,72622,154,472,110,1576,47.0,1062,383,250,21.0,21.0,21.205695243865495,64.9940789292501,15.14692517418964,217.01412795020792,6.4718680289719375,146.2366775908127,52.73883947013302,34.424829941340086,2.891685715072567,2.891685715072567
1480605295,69341,155,353,52,995,38.0,688,246,150,10.0,9.0,22.353297471914164,50.90783230700452,7.499170764771203,143.493748287449,5.480163251178956,99.219797810819,35.47684631026377,21.63222335991693,1.442148223994462,1.297933401595016
1482179882,73356,134,304,77,1444,29.0,926,430,128,13.0,11.0,18.267081084028572,41.441736190631985,10.496755548285075,196.84824690550192,3.953323518185288,126.23370958067505,58.61824526964393,17.4491520802661,1.7721795081520257,1.4995365068978679
1484862164,76196,154,498,116,2041,63.0,1338,526,234,47.0,61.0,20.21103469998425,65.35776156228674,15.223896267520605,267.8618300173237,8.268150559084466,175.59976901674628,69.03249514410206,30.710273505170875,6.168302798047142,8.0056695889548
1485021241,73674,141,338,151,2206,38.0,1377,666,149,10.0,12.0,19.13836631647528,45.87778592176344,20.495697260906155,299.4272063414502,5.15785758883731,186.90447104813094,90.39824089909602,20.22423107201998,1.357330944430871,1.6287971333170455
1485186805,75216,147,483,153,1883,75.0,1387,316,210,51.0,27.0,19.54371410338226,64.21506062539885,20.34141671984684,250.34567113380132,9.971282705807274,184.40225483939588,42.01233780046798,27.91959157626037,6.7804722399489465,3.5896617740906187
1485351658,73985,227,825,173,2154,114.0,1742,205,434,50.0,34.0,30.681894978711902,111.50908968034061,23.38311819963506,291.14009596539836,15.408528755828884,235.45313239170102,27.70831925390282,58.66053929850646,6.75812664729337,4.595526120159492
1490993194,73726,167,415,139,1781,53.0,1351,270,167,28.0,21.0,22.65143911238912,56.28950438108672,18.85359303366519,241.57013807883246,7.18878007758457,183.2460732984293,36.62208718769498,22.65143911238912,3.7978460787239237,2.848384559042943
1493858530,76111,172,661,198,3309,194.0,2507,558,266,29.0,46.0,22.598573136603118,86.84684211217827,26.01463651771754,434.7597587733705,25.4890883052384,329.3873421713024,73.31397564084035,34.948956129862964,3.8102245404737816,6.043804443510136
1494037881,8908,18,37,13,152,2.0,125,13,14,3.0,1.0,20.20655590480467,41.53569824876515,14.593623709025595,170.6331387516839,2.24517287831163,140.32330489447688,14.593623709025595,15.716210148181409,3.367759317467445,1.122586439155815
1495251160,73037,186,615,111,1666,65.0,1286,247,332,32.0,22.0,25.466544354231416,84.20389665512,15.197776469460685,228.10356394704056,8.899598833467968,176.0751399975355,33.81847556717828,45.45641250325178,4.381340964168846,3.0121719128660813
